Name,English Name,Operator,Output (MW),Latitude,Longitude
Zonnepark Rhoon,,,4.5,51.8650346,4.4481032
Zonnepark Tegelen,,,4.5,51.3437001,6.1548487
Zonnepark Mercurius,,,4.4,52.9733537,6.9639188
Zonnepark Ureterp,,,4.3,53.0991217,6.1827019
Zonnepark Zandwinning Geertjesgolf,,,4.2,51.8811065,5.6798048
Zonnepark Oppenhuizen,,,4.1,53.0126936,5.6884853
Zonnepark RWZI Aarle-Rixtel,,,4.1,51.5091300,5.6610686
Zonnepark De Lichtkiem,,,4,,
Zonnepark Groene Kadeweg,,,4,52.4158772,5.2530306
Zonnepark Hooghweg Energy Buinen,,,4,52.9349002,6.8524736
Zonnepark IJsseldijk A1,,,4,52.1921859,6.0450821
Zonnepark Noordwolde,,Zonnepark Noordwolde B.V.,3.91,,
Zonnepark Oost,,,3.85,51.8721365,5.5161006
Zonnepark West,,,3.85,51.8727525,5.5000840
Zonnepark Apeldoorn,,,3.8,52.2419764,6.0085171
Zonnepark Wolvega ll,,Zonnepark Wolvega B.V.,3.78,52.8826002,5.9779678
Zonnepark Eemscentrale,,Engie,3.75,,
Zonnepark Koudekerke,,Zonnepark Koudekerke B.V.,3.6,51.4934548,3.5505191
Zonnepark Crayestein,,ECD,3.5,51.8186175,4.7404031
Zonnepark Goes,,,3.5,51.4884526,3.8597138
Zonneweide Bocholterweg,,,3.5,51.2070067,5.6559645
Zonnepark Louisegroeve,,,3.4,50.9889076,5.8004933
Zonnevijver Boskoop,,,3.4,52.0964494,4.6684550
[unnamed],,Tesla, Inc.,,
Zonnepark Kolksluis Solar,,,3.34,52.8468041,4.7532281
Zonnepark Middenmeer,,,3.24,52.7710702,5.0790283
Zonnepark Gasselternijeveen,,,3.2,52.9911707,6.8684919
Zonnepark Hoogengraven,,,3.1,,
Zonnepark Jutterszon,,,3.1,,
Zonnepark A58,,Vrijopnaam,3,51.5531153,4.6231991
Zonnepark Noordscheschut,,Solarfields,3,,
Zonnepark Tienbunderweg,,,3,52.2267320,6.7929434
Zonnepark Welschap,,,3,,
Zonnepark Westeinde,,Stichting Westeinde Energieneutraal,3,,
Zonnepark De Punt,,,2.9,51.8655670,4.5321002
Zonnepark Torenallee,,,2.9,52.3865856,6.2569182
Zonnepark 't Boonder,,,2.8,51.1949222,5.7308471
Zonnepark Heikantstraat,,Zonneparken Someren,2.8,51.3764518,5.6910111
Stroomtuin IJlst,,Stroomtuin BV,2.6,53.0162554,5.6257296
